Gene_ID,Raw_FPKM,H3K4me3_signal_bin25,H3K27me3_signal_bin21
Eucgr.B00845,0,11.1274,-6.6592
Eucgr.B00854,0,172.136,-4.18811
Eucgr.B00861,0,-9.15574,24.3808
Eucgr.B00863,0,29.999,83.4458
Eucgr.B00867,0,24.3379,72.8769
Eucgr.B00873,0,-10.9499,-11.0681
Eucgr.B00890,0,-1.22538,-10.0181
Eucgr.B00894,0,-14.508,-8.66811
Eucgr.B00897,0,1.26298,-10.0981
Eucgr.B00911,0,-14.105,-10.0178
Eucgr.B00912,0,-14.6507,8.15189
Eucgr.B00914,0,6.43044,10.2128
Eucgr.B00921,0,-12.4163,-11.1081
Eucgr.B00924,0,-10.4231,-9.23811
Eucgr.B00950,0,234.934,-6.22811
Eucgr.B00959,0,-2.16666,-8.31811
Eucgr.B00978,0,-14.508,-8.10811
Eucgr.B00982,0,-10.8056,-8.43811
Eucgr.B00994,0,-9.02761,-10.1081
Eucgr.B01006,0,3.00754,7.86189
Eucgr.B01021,0,-11.8933,19.4666
Eucgr.B01022,0,-8.57533,8.81547
Eucgr.B01041,0,-11.9979,-10.3681
Eucgr.B01043,0,-15.6857,78.6756
Eucgr.B01057,0,-4.2223,-5.24811
Eucgr.B01059,0,-14.3407,-11.1081
Eucgr.B01066,0,60.6696,-9.5681
Eucgr.B01083,0,28.8959,21.7629
Eucgr.B01084,0,17.705,88.6495
Eucgr.B01093,0,-9.27863,7.89189
Eucgr.B01106,0,39.7551,61.895
Eucgr.B01113,0,20.2752,38.3066
Eucgr.B01118,0,-10.1362,-12.8808
Eucgr.B01128,0,-3.14976,-11.0689
Eucgr.B01129,0,11.6389,7.18219
Eucgr.B01131,0,8.83595,7.14862
Eucgr.B01133,0,0.398773,20.6275
Eucgr.B01137,0,-10.4454,3.75189
Eucgr.B01197,0,-10.5128,45.6546
Eucgr.B01199,0,-14.2361,16.6019
Eucgr.B01201,0,-7.62614,-2.69811
Eucgr.B01202,0,-14.508,14.0918
Eucgr.B01204,0,-9.78926,-1.11811
Eucgr.B01206,0,33.4288,62.4795
Eucgr.B01207,0,-2.77327,-4.60811
Eucgr.B01208,0,-5.3043,59.0919
Eucgr.B01210,0,-2.81511,27.1519
Eucgr.B01212,0,12.1418,17.7281
Eucgr.B01213,0,27.0697,25.5023
Eucgr.B01224,0,7.22531,-3.44392
Eucgr.B01225,0,-12.8741,39.4787
Eucgr.B01226,0,-5.14725,35.9088
Eucgr.B01246,0,-9.88524,32.6333
Eucgr.B01254,0,-11.5303,90.4166
Eucgr.B01268,0,-14.508,-2.47811
Eucgr.B01290,0,-14.508,-11.1081
Eucgr.B01299,0,-14.4453,34.9319
Eucgr.B01300,0,3.5229,56.9876
Eucgr.B01302,0,-9.69698,-15.9521
Eucgr.B01306,0,1.34754,9.7619
Eucgr.B01312,0,-15.1641,5.42189
Eucgr.B01314,0,-14.508,10.3219
Eucgr.B01315,0,-11.0148,10.2319
Eucgr.B01319,0,-16.3556,-8.61811
Eucgr.B01330,0,-14.508,-6.7381
Eucgr.B01337,0,-14.1524,-10.6681
Eucgr.B01345,0,-13.6648,-2.39811
Eucgr.B01349,0,-15.8942,-4.7781
Eucgr.B01351,0,-14.508,-4.26811
Eucgr.B01353,0,-14.508,8.60189
Eucgr.B01386,0,-6.141,-4.48811
Eucgr.B01403,0,20.4731,110.467
Eucgr.B01404,0,-10.4709,-5.2581
Eucgr.B01411,0,-10.6801,-11.1081
Eucgr.B01413,0,2.53978,-7.87811
Eucgr.B01431,0,-25.95,11.5419
Eucgr.B01433,0,-8.22535,5.09669
Eucgr.B01455,0,55.4973,-8.21811
Eucgr.B01458,0,32.9689,32.2029
Eucgr.B01460,0,50.0164,32.8322
Eucgr.B01473,0,-10.797,-10.8181
Eucgr.B01478,0,-14.6875,0.74189
Eucgr.B01480,0,-9.49711,-8.80811
Eucgr.B01482,0,-13.5876,-10.3612
Eucgr.B01484,0,-14.1122,117.608
Eucgr.B01489,0,-14.508,-10.5081
Eucgr.B01504,0,15.5585,85.7766
Eucgr.B01505,0,17.9067,87.6989
Eucgr.B01506,0,59.6351,60.6511
Eucgr.B01513,0,36.2231,61.8751
Eucgr.B01521,0,-13.755,-6.68811
Eucgr.B01537,0,64.0156,11.6763
Eucgr.B01542,0,-2.0948,74.8703
Eucgr.B01554,0,58.7038,30.0504
Eucgr.B01575,0,34.1021,27.7495
Eucgr.B01581,0,-9.42372,-10.5581
Eucgr.B01586,0,8.50372,89.7732
Eucgr.B01589,0,-11.4895,-10.0581
Eucgr.B01604,0,-14.508,-6.30812
Eucgr.B01611,0,-10.17,19.9999
Eucgr.B01620,0,57.6084,-1.11686
Eucgr.B01673,0,-12.4163,-7.46811
Eucgr.B01696,0,35.715,69.9803
Eucgr.B01697,0,47.5543,55.2795
Eucgr.B01707,0,-7.31238,-6.85811
Eucgr.B01728,0,-13.4863,-8.92459
Eucgr.B01730,0,-12.6045,-9.18811
Eucgr.B01734,0,52.8394,77.6091
Eucgr.B01735,0,23.9788,51.1732
Eucgr.B01736,0,-13.6334,-27.3926
Eucgr.B01753,0,-5.72936,-7.62807
Eucgr.B01769,0,54.4075,105.832
Eucgr.B01776,0,-18.3799,-6.0281
Eucgr.B01777,0,-5.26943,5.22961
Eucgr.B01782,0,-17.9108,-8.74811
Eucgr.B01812,0,-1.79015,1.44189
Eucgr.B01824,0,1.31616,24.0419
Eucgr.B01831,0,11.5995,37.6981
Eucgr.B01845,0,-13.2321,42.2911
Eucgr.B01868,0,17.9398,-7.09811
Eucgr.B01876,0,6.26309,-4.18811
Eucgr.B01894,0,-11.0418,-0.718109
Eucgr.B01900,0,-17.6659,6.36189
Eucgr.B01930,0,-14.508,-9.47811
Eucgr.B01935,0,-8.16445,0.49189
Eucgr.B01940,0,14.5373,119.033
Eucgr.B01942,0,-8.17,-9.71811
Eucgr.B01955,0,-14.508,-10.1781
Eucgr.B01961,0,-279.281,98.2304
Eucgr.B01963,0,3.20914,-7.85811
Eucgr.B01974,0,-8.73477,2.01189
Eucgr.B01975,0,-14.508,0.73936
Eucgr.B01976,0,-7.62614,13.4124
Eucgr.B01979,0,-14.508,-10.3481
Eucgr.B01983,0,-6.70578,-0.148111
Eucgr.B02006,0,4.85886,68.3534
Eucgr.B02018,0,-5.84767,-0.18811
Eucgr.B02019,0,0.846512,-7.36811
Eucgr.B02035,0,-16.2771,-6.06812
Eucgr.B02039,0,-22.6069,30.8819
Eucgr.B02051,0,-10.9939,-1.77811
Eucgr.B02079,0,23.6903,-1.08811
Eucgr.B02100,0,-9.70471,9.6319
